Perturbability,Row
1,PREV_NAME_CLIENT_TYPE_Repeater_MEAN
1,BUREAU_MONTHS_BALANCE_MEAN_MEAN
1,PREV_ACTIVE_AMT_ANNUITY_MAX
1,BUREAU_STATUS_12345_MEAN
1,LIVINGAREA_AVG
1,GROUP_INCOME_STD
1,APPROVED_SIMPLE_INTERESTS_MAX
1,BUREAU_MONTHS_BALANCE_MEAN_VAR
1,PREV_Cash_APPLICATION_CREDIT_DIFF_MIN
1,BUREAU_CREDIT_TYPE_Consumer credit_MEAN
1,APPROVED_DAYS_LAST_DUE_DIFF_MIN
1,REFUSED_APPLICATION_CREDIT_DIFF_MEAN
1,PREV_LAST12M_APPLICATION_CREDIT_DIFF_MIN
1,SK_ID_CURR
1,PREV_Consumer_SIMPLE_INTERESTS_MEAN
1,DAYS_LAST_PHONE_CHANGE
1,PREV_Consumer_DAYS_DECISION_MAX
1,REFUSED_DAYS_DECISION_MIN
1,BUREAU_LL_STATUS_12345_MEAN
1,PREV_CREDIT_TO_ANNUITY_RATIO_MAX
1,DOCUMENT_COUNT
1,REFUSED_AMT_APPLICATION_MAX
1,NAME_INCOME_TYPE
1,APARTMENTS_AVG
1,PREV_Cash_SIMPLE_INTERESTS_VAR
1,PREV_RATE_DOWN_PAYMENT_MAX
1,REG_CITY_NOT_LIVE_CITY
1,BUREAU_STATUS_1_MEAN
1,PREV_Consumer_SIMPLE_INTERESTS_MAX
1,PREV_ACTIVE_SIMPLE_INTERESTS_MEAN
1,GROUP_EXT_SOURCES_STD
1,PREV_Consumer_AMT_ANNUITY_MEAN
1,BUREAU_LAST12M_AMT_CREDIT_SUM_DEBT_SUM
1,APPROVED_DAYS_TERMINATION_MEAN
1,WEEKDAY_APPR_PROCESS_START
1,PREV_CREDIT_TO_ANNUITY_RATIO_MEAN
1,APPROVED_AMT_CREDIT_MIN
1,PREV_Consumer_APPLICATION_CREDIT_RATIO_MAX
1,PREV_LAST12M_DAYS_LAST_DUE_1ST_VERSION_MIN
1,BUREAU_CLOSED_ENDDATE_DIF_MEAN
1,GROUP_ANNUITY_MEAN
1,BUREAU_DAYS_CREDIT_MAX
1,APPROVED_AMT_CREDIT_MAX
1,PREV_APPLICATION_CREDIT_DIFF_MIN
1,PREV_RATE_DOWN_PAYMENT_MEAN
1,BUREAU_DAYS_CREDIT_MEAN
1,PREV_Cash_AMT_ANNUITY_MEAN
1,PREV_Consumer_SIMPLE_INTERESTS_MIN
1,PREV_LAST12M_DAYS_DECISION_MEAN
1,REFUSED_APPLICATION_CREDIT_RATIO_MIN
1,WALLSMATERIAL_MODE
1,APPROVED_DAYS_LAST_DUE_1ST_VERSION_MAX
1,BUREAU_CLOSED_DAYS_CREDIT_MAX
1,PREV_Cash_SIMPLE_INTERESTS_MIN
1,PREV_DAYS_DECISION_MIN
1,BUREAU_STATUS_C_MEAN
