Perturbability,Row
1,c_weather_empath
1,c_traveling_empath
1,economics_empath
1,rural_empath
1,c_fight_empath
1,c_vacation_empath
1,music_empath
1,c_followers_count
1,c_anticipation_empath
1,death_empath
1,home_empath
1,office_empath
1,c_crime_empath
1,c_irritability_empath
1,c_philosophy_empath
1,night_empath
1,c_exotic_empath
1,c_listed_count
1,c_friends_empath
1,traveling_empath
1,dominant_heirarchical_empath
1,c_leisure_empath
1,c_warmth_empath
1,c_music_empath
1,ship_empath
0,c_status length
1,c_in_degree
1,hate_empath
1,c_terrorism_empath
1,politics_empath
1,c_war_empath
1,c_death_empath
1,aggression_empath
1,ridicule_empath
1,c_aggression_empath
1,c_masculine_empath
1,c_negotiate_empath
1,c_money_empath
0,time_diff
1,c_ocean_empath
1,c_social_media_empath
1,c_communication_empath
1,hipster_empath
1,c_speaking_empath
1,c_hate_empath
1,created_at
1,c_wedding_empath
0,c_number urls
1,c_timidity_empath
1,c_payment_empath
1,fire_empath
1,c_baddies
0,c_time_diff
1,c_noise_empath
1,c_computer_empath
1,c_government_empath
1,children_empath
1,work_empath
1,c_exasperation_empath
1,cleaning_empath
1,c_liquid_empath
1,c_pride_empath
1,c_disgust_empath
1,c_musical_empath
1,c_rural_empath
1,c_superhero_empath
1,c_violence_empath
1,c_listen_empath
1,c_home_empath
1,sympathy_empath
1,c_sympathy_empath
1,c_children_empath
1,c_swearing_terms_empath
1,c_hipster_empath
1,c_dominant_heirarchical_empath
1,c_heroic_empath
1,science_empath
1,c_divine_empath
1,c_time_diff_median
1,c_swimming_empath
1,c_vehicle_empath
1,sentiment
1,c_sleep_empath
1,furniture_empath
1,c_anger_empath
1,superhero_empath
1,c_science_empath
1,c_farming_empath
1,c_ship_empath
1,c_sentiment
1,c_politics_empath
1,c_work_empath
1,normal_neigh
1,c_legend_empath
1,c_cleaning_empath
1,sleep_empath
1,c_furniture_empath
1,c_ridicule_empath
1,c_fire_empath
1,hate_neigh
